السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,4,إلكتروني,3,9,عسير,ابها,عقارات,غير محدد,8275000.0
2025,4,إلكتروني,3,5,المنطقة الشرقية,حفر الباطن,عقارات,سكني,1127000.0
2025,4,إلكتروني,4,7,المدينة المنورة,المدينة المنورة,عقارات,غير محدد,19266948.0
2025,4,إلكتروني,2,2,عسير,بلقرن,عقارات,سكني,471000.0
2025,4,إلكتروني,3,4,عسير,تنومة,عقارات,ارض زراعية,2109500.0
2025,4,إلكتروني,4,4,القصيم,الرس,عقارات,غير محدد,2445000.0
2025,4,إلكتروني,1,1,جيزان,أبو عريش,عقارات,غير محدد,1720000.0
2025,4,إلكتروني,1,1,القصيم,رياض الخبراء,عقارات,غير محدد,69000.0
2025,4,إلكتروني,1,1,جيزان,المضايا,عقارات,غير محدد,409000.0
2025,4,إلكتروني,1,1,حائل,الاجفر,عقارات,سكني,48500.0
2025,4,إلكتروني,2,2,المنطقة الشرقية,الخفجي,عقارات,سكني,1572000.0
2025,4,إلكتروني,1,1,الباحة,العقيق,عقارات,سكني,183500.0
2025,4,إلكتروني,1,1,جيزان,ضمد,عقارات,ارض زراعية,8700000.0
2025,4,إلكتروني,1,1,الحدود الشمالية,طريف,عقارات,أخرى,785000.0
2025,4,إلكتروني,1,2,الرياض,الخرج,عقارات,غير محدد,5810000.0
2025,4,إلكتروني,2,2,الرياض,الزلفي,عقارات,ارض زراعية,3400000.0
2025,4,إلكتروني,4,5,الرياض,الرياض,عقارات,ارض زراعية,8535000.0
2025,4,إلكتروني,1,2,حائل,الروضة,عقارات,غير محدد,121000.0
2025,4,إلكتروني,4,4,جيزان,جيزان,عقارات,سكني,2504000.0
2025,4,إلكتروني,4,4,الباحة,الباحة,عقارات,سكني,1973000.0
2025,4,إلكتروني,1,1,الرياض,الحريق,عقارات,ارض زراعية,2260000.0
2025,4,إلكتروني,3,7,الرياض,الدلم,عقارات,غير محدد,914500.0
2025,4,إلكتروني,6,20,الرياض,الخرج,عقارات,أخرى,14549500.0
2025,4,إلكتروني,1,1,الرياض,ثادق,عقارات,سكني,176500.0
2025,4,إلكتروني,3,8,الجوف,القريات,عقارات,أخرى,2029500.0
2025,4,إلكتروني,2,7,الجوف,دومة الجندل,عقارات,أخرى,1926000.0
2025,4,إلكتروني,3,3,القصيم,عنيزه,عقارات,ارض زراعية,5090000.0
2025,4,إلكتروني,1,1,القصيم,النبهانيه,عقارات,غير محدد,48000.0
2025,4,إلكتروني,1,1,مكة المكرمة,رابغ,عقارات,أخرى,126000.0
2025,4,إلكتروني,2,2,الرياض,حوطة بني تميم,عقارات,أخرى,191000.0
2025,4,إلكتروني,2,2,القصيم,بريده,عقارات,سكني,547000.0
2025,4,إلكتروني,4,6,المنطقة الشرقية,الخفجي,عقارات,غير محدد,1991000.0
2025,4,إلكتروني,1,1,المدينة المنورة,الحناكية,عقارات,سكني,83000.0
2025,4,إلكتروني,1,1,حائل,بقعاء,عقارات,غير محدد,42000.0
2025,4,إلكتروني,1,1,المدينة المنورة,المهد,عقارات,سكني,200500.0
2025,4,إلكتروني,11,37,تبوك,تبوك,عقارات,سكني,27992500.0
2025,4,إلكتروني,1,1,الرياض,الزلفي,عقارات,أخرى,133000.0
2025,4,إلكتروني,3,3,الرياض,حريملاء,عقارات,أخرى,1977000.0
2025,4,إلكتروني,11,27,المنطقة الشرقية,حفر الباطن,عقارات,غير محدد,8613760.0
2025,4,إلكتروني,1,3,القصيم,عنيزه,عقارات,سكني,810000.0
2025,4,إلكتروني,1,1,الرياض,عرجاء,عقارات,أخرى,35000.0
2025,4,إلكتروني,2,2,الرياض,الدوادمي,عقارات,ارض زراعية,1377000.0
2025,4,إلكتروني,3,3,عسير,بيشه,عقارات,سكني,6443000.0
2025,4,إلكتروني,1,1,الجوف,دومة الجندل,عقارات,سكني,220000.0
2025,4,إلكتروني,2,6,الحدود الشمالية,رفحاء,عقارات,أخرى,3466003.0
2025,4,إلكتروني,2,2,المنطقة الشرقية,الاحساء,عقارات,ارض زراعية,2760000.0
2025,4,إلكتروني,6,8,حائل,حائل,عقارات,سكني,6170189.5519847739
2025,4,إلكتروني,1,1,الرياض,الجمش,عقارات,ارض زراعية,250500.0
2025,4,إلكتروني,1,2,المنطقة الشرقية,القطيف,عقارات,ارض زراعية,9590000.0
2025,4,إلكتروني,2,3,حائل,الروضة,عقارات,سكني,653500.0
2025,4,إلكتروني,1,1,الباحة,قلوة,عقارات,سكني,165500.0
2025,4,إلكتروني,1,1,جيزان,الموسم,عقارات,سكني,114500.0
2025,4,إلكتروني,2,2,الرياض,حوطة سدير,عقارات,أخرى,1355000.0
2025,4,إلكتروني,2,2,المدينة المنورة,المدينة المنورة,عقارات,ارض زراعية,5020000.0
2025,4,إلكتروني,1,1,الرياض,ضرماء,عقارات,غير محدد,1730000.0
2025,4,إلكتروني,4,4,المنطقة الشرقية,ابقيق,عقارات,غير محدد,2229500.0
2025,4,إلكتروني,3,3,تبوك,تيماء,عقارات,سكني,967500.0
2025,4,إلكتروني,1,1,مكة المكرمة,الجموم,عقارات,ارض زراعية,720000.0
