السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,2,إلكتروني,13,30,الرياض,الرياض,عقارات,غير محدد,127334940.7
2025,2,إلكتروني,4,11,تبوك,تبوك,عقارات,أخرى,7775000
2025,2,إلكتروني,7,17,مكة المكرمة,الطائف,عقارات,سكني,12291000
2025,2,إلكتروني,6,15,المنطقة الشرقية,الخبر,عقارات,سكني,24725000
2025,2,إلكتروني,2,2,الرياض,الرياض,عقارات,ارض زراعية,3730000
2025,2,إلكتروني,5,9,الجوف,سكاكا,عقارات,أخرى,1807000
2025,2,إلكتروني,8,15,المنطقة الشرقية,الاحساء,عقارات,سكني,11563000
2025,2,إلكتروني,4,5,القصيم,بريده,عقارات,أخرى,7872354.53
2025,2,إلكتروني,2,5,عسير,العرين,عقارات,سكني,456000
2025,2,إلكتروني,38,142,الرياض,الرياض,عقارات,سكني,436703559.3
2025,2,إلكتروني,14,93,مكة المكرمة,جده,عقارات,سكني,259210997
2025,2,إلكتروني,6,8,عسير,خميس مشيط,عقارات,سكني,7350000
2025,2,إلكتروني,4,4,حائل,حائل,عقارات,سكني,2050000
2025,2,إلكتروني,2,2,عسير,احد رفيده,عقارات,سكني,2673000
2025,2,إلكتروني,1,1,المنطقة الشرقية,القطيف,عقارات,ارض زراعية,3660000
2025,2,إلكتروني,5,19,الجوف,القريات,عقارات,أخرى,12778000
2025,2,إلكتروني,3,5,الحدود الشمالية,عرعر,عقارات,أخرى,2015000
2025,2,إلكتروني,17,55,المدينة المنورة,المدينة المنورة,عقارات,سكني,67501500
2025,2,إلكتروني,1,1,المنطقة الشرقية,الظهران,عقارات,سكني,1820000
2025,2,إلكتروني,9,22,المنطقة الشرقية,حفر الباطن,عقارات,سكني,12965000
2025,2,إلكتروني,1,1,عسير,الواديين,عقارات,سكني,840000
2025,2,إلكتروني,6,20,المدينة المنورة,المدينة المنورة,عقارات,أخرى,18380000
2025,2,إلكتروني,1,21,جيزان,صبياء,عقارات,ارض زراعية,35369000.04
2025,2,إلكتروني,3,7,الرياض,شقراء,عقارات,سكني,4751000
2025,2,إلكتروني,2,2,الرياض,الدلم,عقارات,سكني,967000
2025,2,إلكتروني,5,8,الرياض,الخرج,عقارات,سكني,5488000
2025,2,إلكتروني,9,21,مكة المكرمة,مكة المكرمة,عقارات,سكني,101911000
2025,2,إلكتروني,8,13,الرياض,الرياض,عقارات,أخرى,34710000
2025,2,إلكتروني,1,2,المنطقة الشرقية,النعيرية,عقارات,سكني,326000
2025,2,إلكتروني,11,63,المنطقة الشرقية,الدمام,عقارات,سكني,36123785.24
2025,2,إلكتروني,4,4,الجوف,سكاكا,عقارات,سكني,1314000
2025,2,إلكتروني,2,3,القصيم,الرس,عقارات,ارض زراعية,1723000
2025,2,إلكتروني,1,1,الرياض,شقراء,عقارات,أخرى,1222000
2025,2,إلكتروني,2,4,المنطقة الشرقية,الاحساء,عقارات,غير محدد,7080000
2025,2,إلكتروني,12,37,القصيم,بريده,عقارات,غير محدد,37569645.47
2025,2,إلكتروني,1,1,حائل,الروضة,عقارات,ارض زراعية,279000
2025,2,إلكتروني,2,2,الرياض,القويعيه,عقارات,سكني,287000
2025,2,إلكتروني,2,2,الرياض,الخرج,عقارات,غير محدد,891000
2025,2,إلكتروني,4,5,جيزان,جيزان,عقارات,سكني,6084000
2025,2,إلكتروني,8,17,تبوك,تبوك,عقارات,سكني,12816000
2025,2,إلكتروني,1,3,المنطقة الشرقية,الخفجي,عقارات,سكني,1006000
2025,2,إلكتروني,2,2,القصيم,عنيزه,عقارات,ارض زراعية,40702000
2025,2,إلكتروني,2,2,الباحة,الباحة,عقارات,سكني,1230000
2025,2,إلكتروني,2,3,عسير,تثليث,عقارات,سكني,377000
2025,2,إلكتروني,1,1,القصيم,المذنب,عقارات,غير محدد,90000
2025,2,إلكتروني,10,19,مكة المكرمة,الطائف,عقارات,أخرى,59942500
2025,2,إلكتروني,2,7,القصيم,عنيزه,عقارات,سكني,3866000
