السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,1,إلكتروني,17,96,مكة المكرمة,جده,عقارات,سكني,306109000
2025,1,إلكتروني,4,8,الرياض,القويعيه,عقارات,سكني,1392000
2025,1,إلكتروني,1,1,عسير,بلقرن,عقارات,سكني,321000
2025,1,إلكتروني,26,146,الرياض,الرياض,عقارات,سكني,459397000
2025,1,إلكتروني,10,28,المنطقة الشرقية,الدمام,عقارات,سكني,31086000
2025,1,إلكتروني,1,1,الرياض,ريمة,عقارات,أخرى,285000
2025,1,إلكتروني,10,54,المدينة المنورة,المدينة المنورة,عقارات,سكني,92939000
2025,1,إلكتروني,9,37,المنطقة الشرقية,الاحساء,عقارات,سكني,23490000
2025,1,إلكتروني,7,14,مكة المكرمة,الطائف,عقارات,أخرى,11981000
2025,1,إلكتروني,4,6,القصيم,عنيزه,عقارات,غير محدد,2375000
2025,1,إلكتروني,1,1,المدينة المنورة,المدينة المنورة,عقارات,غير محدد,1285000
2025,1,إلكتروني,5,11,عسير,خميس مشيط,عقارات,سكني,15780000
2025,1,إلكتروني,1,1,القصيم,قصيباء,عقارات,غير محدد,54000
2025,1,إلكتروني,2,10,القصيم,البكيريه,عقارات,سكني,1074000
2025,1,إلكتروني,3,6,مكة المكرمة,جده,عقارات,أخرى,16361000
2025,1,إلكتروني,1,1,الرياض,الحريق,عقارات,سكني,180000
2025,1,إلكتروني,8,67,حائل,حائل,عقارات,أخرى,19868000
2025,1,إلكتروني,7,14,حائل,حائل,عقارات,سكني,45565000
2025,1,إلكتروني,2,17,الرياض,الخرج,عقارات,أخرى,47970417.56
2025,1,إلكتروني,14,49,مكة المكرمة,مكة المكرمة,عقارات,سكني,113945000
2025,1,إلكتروني,1,1,المدينة المنورة,وادي الفرع,عقارات,أخرى,88000
2025,1,إلكتروني,5,14,تبوك,تبوك,عقارات,أخرى,15453000
2025,1,إلكتروني,2,2,الرياض,ضرماء,عقارات,سكني,1317000
2025,1,إلكتروني,2,5,المنطقة الشرقية,العيون,عقارات,سكني,1744000
2025,1,إلكتروني,10,30,المنطقة الشرقية,الخبر,عقارات,سكني,44635000
2025,1,إلكتروني,1,1,حائل,الحايط,عقارات,أخرى,221000
2025,1,إلكتروني,6,11,القصيم,بريده,عقارات,أخرى,9063000
2025,1,إلكتروني,3,7,الحدود الشمالية,عرعر,عقارات,أخرى,2186000
2025,1,إلكتروني,3,8,الرياض,ساجر,عقارات,ارض زراعية,1640000
2025,1,إلكتروني,4,5,المنطقة الشرقية,القطيف,عقارات,سكني,5370000
2025,1,إلكتروني,10,21,القصيم,بريده,عقارات,غير محدد,9041000
2025,1,إلكتروني,6,10,الرياض,الرياض,عقارات,غير محدد,18635000
2025,1,إلكتروني,3,3,الرياض,الدوادمي,عقارات,سكني,592000
2025,1,إلكتروني,1,2,الرياض,مرات,عقارات,سكني,321000
2025,1,إلكتروني,5,10,الرياض,حوطة بني تميم,عقارات,سكني,3997000
2025,1,إلكتروني,2,5,مكة المكرمة,مكة المكرمة,عقارات,غير محدد,10360000
2025,1,إلكتروني,6,10,المدينة المنورة,المدينة المنورة,عقارات,أخرى,15606000
2025,1,إلكتروني,2,2,مكة المكرمة,الخرمة,عقارات,سكني,216000
2025,1,إلكتروني,1,1,الجوف,سكاكا,عقارات,غير محدد,705000
2025,1,إلكتروني,3,17,المنطقة الشرقية,الدمام,عقارات,غير محدد,18610000
2025,1,إلكتروني,4,11,الرياض,الخرج,عقارات,سكني,5645582.436
2025,1,إلكتروني,2,7,الرياض,تمير,عقارات,سكني,2245000
2025,1,إلكتروني,8,13,مكة المكرمة,الطائف,عقارات,سكني,11490000
2025,1,إلكتروني,1,1,الباحة,الحجرة,عقارات,سكني,140000
2025,1,إلكتروني,1,3,المنطقة الشرقية,الخفجي,عقارات,سكني,1704000
2025,1,إلكتروني,2,3,الحدود الشمالية,عرعر,عقارات,غير محدد,1588000
2025,1,إلكتروني,1,1,نجران,بدر الجنوب,عقارات,سكني,88000
2025,1,إلكتروني,1,1,الباحة,بلجرشي,عقارات,غير محدد,321000
2025,1,إلكتروني,1,1,مكة المكرمة,أضم,عقارات,سكني,400000
2025,1,إلكتروني,3,4,القصيم,الرس,عقارات,سكني,1237000
2025,1,إلكتروني,1,1,الرياض,الزلفي,عقارات,سكني,130000
2025,1,إلكتروني,5,7,جيزان,جيزان,عقارات,سكني,7010000
2025,1,إلكتروني,1,1,القصيم,الشماسيه,عقارات,سكني,110000
2025,1,إلكتروني,3,8,الجوف,القريات,عقارات,أخرى,1849000
2025,1,إلكتروني,5,12,الجوف,سكاكا,عقارات,أخرى,13706000
