السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,3,إلكتروني,1,1,مكة المكرمة,المضيلف,عقارات,سكني,1420000.0
2025,3,إلكتروني,2,2,عسير,ابها,عقارات,ارض زراعية,21280000.0
2025,3,إلكتروني,2,2,المنطقة الشرقية,العيون,عقارات,غير محدد,887000.0
2025,3,إلكتروني,7,14,القصيم,عنيزه,عقارات,غير محدد,4506000.0
2025,3,إلكتروني,2,2,الرياض,وادي الدواسر,عقارات,سكني,918000.0
2025,3,إلكتروني,1,2,عسير,طريب,عقارات,سكني,110000.0
2025,3,إلكتروني,2,2,الباحة,الباحة,عقارات,سكني,397000.0
2025,3,إلكتروني,2,3,الرياض,الافلاج,عقارات,سكني,202000.0
2025,3,إلكتروني,1,1,القصيم,البدائع,عقارات,ارض زراعية,1250000.0
2025,3,إلكتروني,3,4,الحدود الشمالية,عرعر,عقارات,أخرى,2714000.0
2025,3,إلكتروني,1,1,الرياض,الدلم,عقارات,ارض زراعية,1830000.0
2025,3,إلكتروني,2,3,تبوك,تيماء,عقارات,سكني,715000.0
2025,3,إلكتروني,1,3,الرياض,حوطة سدير,عقارات,أخرى,1917000.0
2025,3,إلكتروني,1,1,الرياض,المجمعه,عقارات,غير محدد,327381.47718241374
2025,3,إلكتروني,1,1,المنطقة الشرقية,رأس تنوره,عقارات,غير محدد,820000.0
2025,3,إلكتروني,3,3,القصيم,بريده,عقارات,ارض زراعية,7065000.0
2025,3,إلكتروني,3,5,الرياض,المزاحميه,عقارات,ارض زراعية,37154000.0
2025,3,إلكتروني,2,2,الرياض,الدوادمي,عقارات,ارض زراعية,2255000.0
2025,3,إلكتروني,3,6,الرياض,الخرج,عقارات,أخرى,15085000.0
2025,3,إلكتروني,2,2,الرياض,حوطة بني تميم,عقارات,ارض زراعية,5480000.0
2025,3,إلكتروني,2,2,مكة المكرمة,مكة المكرمة,عقارات,غير محدد,26685000.0
2025,3,إلكتروني,2,2,الباحة,بلجرشي,عقارات,سكني,444000.0
2025,3,إلكتروني,1,1,القصيم,النبهانيه,عقارات,ارض زراعية,220000.0
2025,3,إلكتروني,3,3,الرياض,الدوادمي,عقارات,سكني,2031000.0
2025,3,إلكتروني,1,1,نجران,شرورة,عقارات,سكني,2950000.0
2025,3,إلكتروني,2,2,الباحة,الباحة,عقارات,غير محدد,1070000.0
2025,3,إلكتروني,2,3,المدينة المنورة,المهد,عقارات,سكني,676000.0
2025,3,إلكتروني,1,2,مكة المكرمة,الطائف,عقارات,غير محدد,21650000.0
2025,3,إلكتروني,1,1,القصيم,البدائع,عقارات,غير محدد,555000.0
2025,3,إلكتروني,1,1,حائل,الروضة,عقارات,أخرى,99000.0
2025,3,إلكتروني,1,1,القصيم,الشماسيه,عقارات,غير محدد,84000.0
2025,3,إلكتروني,1,1,الرياض,الزلفي,عقارات,سكني,263000.0
2025,3,إلكتروني,1,1,القصيم,عقلة الصقور,عقارات,أخرى,323000.0
2025,3,إلكتروني,1,1,القصيم,البكيريه,عقارات,غير محدد,95000.0
2025,3,إلكتروني,2,2,المنطقة الشرقية,الجبيل,عقارات,غير محدد,1425000.0
2025,3,إلكتروني,2,4,الرياض,الارطاويه,عقارات,سكني,374000.0
2025,3,إلكتروني,6,8,الرياض,الخرج,عقارات,ارض زراعية,20749000.0
2025,3,إلكتروني,2,2,المنطقة الشرقية,القطيف,عقارات,ارض زراعية,4640000.0
2025,3,إلكتروني,3,3,المنطقة الشرقية,الاحساء,عقارات,سكني,2245000.0
2025,3,إلكتروني,1,1,مكة المكرمة,أضم,عقارات,سكني,271500.0
